Symbol,Sector,Shares Outstanding,Market Price,Percent Change,Last Trade On,52 Week Low/High,180 Day Average,120 Day Average,One Year Yield,EPS,P/E Ratio,Book Value,P/B Ratio,Dividend,180Change,Technical Quality,Fundamental Health,Final Rating
TVCL,Hydro Power,"18,525,000.00",624.00,-0.87 %,2026/03/17 02:59:47,689.00-377.60,471.77,489.44,16.64%,"-6.75                                                                    (FY:082-083, Q:2)",-92.44,80.67,7.74,,32.27,0.2087,0.0172,0.1129
VLUCL,Hydro Power,"19,125,000.00",587.50,1.63 %,2026/03/17 02:59:57,720.00-516.00,571.71,572.28,-17.02%,"-8.70                                                                    (FY:082-083, Q:2)",-67.53,128.63,4.57,,2.76,0.6495,0.0319,0.3407
MKCL,Others,"7,560,000.00","1,382.00",-0.22 %,2026/03/17 02:58:36,"1,900.00-1,333.00","1,410.13","1,384.33",-14.27%,"4.69                                                                    (FY:082-083, Q:2)",294.67,108.71,12.71,0.42                                                                    (FY:081-082),0,0,0,0.0000
CKHL,Hydro Power,"4,000,000.00",723.80,-1.92 %,2026/03/17 02:59:58,804.00-550.00,655.66,677.50,-3.24%,"17.54                                                                    (FY:082-083, Q:2)",41.27,95.71,7.56,,10.39,0.3157,0.0458,0.1807
NWCL,Others,"6,875,000.00",861.00,-1.03 %,2026/03/17 02:59:57,"1,045.00-740.20",839.87,856.46,-11.96%,"-6.09                                                                    (FY:082-083, Q:2)",-141.38,101.24,8.50,,2.52,0,0.0179,0.0089
HRL,Others,"108,680,000.00",870.00,-0.91 %,2026/03/17 02:59:54,"1,139.90-762.10",838.34,847.33,-11.59%,"11.92                                                                    (FY:082-083, Q:2)",72.99,157.02,5.54,,3.78,0,0.0471,0.0236
SARBTM,Manufacturing And Processing,"52,242,750.00",889.00,-0.15 %,2026/03/17 02:59:28,"1,048.00-760.20",877.38,881.79,7.86%,"20.61                                                                    (FY:082-083, Q:2)",43.13,188.92,4.71,15.00                                                                    (FY:081-082),1.32,0,0.0610,0.0305
GMLI,Life Insurance,"7,500,000.00","1,745.00",0.58 %,2026/03/17 02:59:33,"2,778.00-1,694.00","1,819.57","1,778.22",-11.87%,"3.53                                                                    (FY:082-083, Q:2)",494.33,106.91,16.32,,0,0,0,0.0000
NMIC,Non-Life Insurance,"7,500,000.00","1,320.00",0 %,2026/03/17 02:59:58,"2,703.30-302.30","1,290.55","1,296.91",0.00%,"3.61                                                                    (FY:082-083, Q:2)",365.65,101.65,12.99,,0,0,0,0.0000
CREST,Life Insurance,"7,500,000.00","1,385.00",-1.35 %,2026/03/17 02:59:34,"2,458.20-302.50","1,290.27","1,328.44",0.00%,"3.13                                                                    (FY:082-083, Q:2)",442.49,111.12,12.46,,0,0,0,0.0000
OMPL,Manufacturing And Processing,"6,000,000.00","1,321.00",0.49 %,2026/03/17 02:58:54,"2,167.20-270.00","1,268.82","1,303.32",0.00%,"-12.81                                                                    (FY:082-083, Q:2)",-103.12,97.93,13.49,,0,0,0,0.0000
PURE,Others,"8,000,000.00",965.00,-0.72 %,2026/03/17 02:59:59,"1,327.90-289.30",927.60,986.70,0.00%,"2.31                                                                    (FY:082-083, Q:2)",417.75,101.63,9.50,,4.03,0,0.0230,0.0115
TTL,Others,"8,156,097.00",906.00,-0.55 %,2026/03/17 02:59:54,"1,262.80-366.10",818.47,856.78,0.00%,"2.24                                                                    (FY:082-083, Q:2)",404.46,105.42,8.59,,10.69,0,0.0253,0.0126
SANVI,Hydro Power,"8,800,000.00",819.50,0.18 %,2026/03/17 02:59:59,"1,060.00-359.00",712.21,762.11,0.00%,"17.33                                                                    (FY:082-083, Q:1)",47.29,118.29,6.93,5.25                                                                    (FY:079-080),15.06,0,0.0458,0.0229
BHCL,Hydro Power,"9,091,013.00",586.00,-0.34 %,2026/03/17 02:59:57,699.00-292.10,513.53,547.00,0.00%,"11.05                                                                    (FY:082-083, Q:2)",53.03,107.34,5.46,,14.11,0.2777,0.0517,0.1647
HIMSTAR,Hydro Power,"3,730,000.00",967.90,2.86 %,2026/03/17 02:59:59,"1,264.00-252.20",847.35,943.05,0.00%,"-5.84                                                                    (FY:082-083, Q:2)",-165.74,95.31,10.16,,14.23,0,0.0149,0.0075
MABEL,Hydro Power,"3,858,240.00",745.00,-1.11 %,2026/03/17 02:59:59,927.00-317.70,713.09,741.41,0.00%,"2.33                                                                    (FY:082-083, Q:2)",319.74,103.31,7.21,,4.47,0.2987,0.0302,0.1645
DHEL,Hydro Power,"10,305,000.00",704.00,-0.85 %,2026/03/17 02:59:56,918.90-402.20,648.70,660.87,0.00%,"-1.65                                                                    (FY:082-083, Q:2)",-426.67,131.27,5.36,,8.52,0.4159,0.0354,0.2256
SAGAR,Manufacturing And Processing,"7,260,000.00","1,920.00",-1.79 %,2026/03/17 02:59:56,"2,439.00-319.50","1,723.20","1,826.29",0.00%,"-7.21                                                                    (FY:082-083, Q:2)",-266.30,128.34,14.96,,0,0,0,0.0000
SWASTIK,Microfinance,"577,500.00","2,817.00",-0.7 %,2026/03/17 02:57:27,"3,400.00-391.70","2,362.97","2,442.72",0.00%,"28.94                                                                    (FY:082-083, Q:2)",97.34,157.58,17.88,,0,0,0,0.0000
BUNGAL,Hydro Power,"8,300,000.00",638.20,-1.51 %,2026/03/17 02:59:51,822.00-302.40,629.25,644.34,0.00%,"6.68                                                                    (FY:082-083, Q:2)",95.54,88.61,7.20,,1.42,0.3537,0.0362,0.1950
BANDIPUR,Hotels And Tourism,"28,299,930.00",939.00,-0.42 %,2026/03/17 02:59:59,"1,233.00-285.00",845.63,871.68,0.00%,"-0.53                                                                    (FY:082-083, Q:2)","-1,771.70",92.47,10.15,,11.04,0,0,0.0000
JHAPA,Others,"3,801,900.00","1,419.20",-2.12 %,2026/03/17 02:59:17,"1,749.00-293.40","1,247.54","1,260.20",0.00%,"5.53                                                                    (FY:082-083, Q:2)",256.64,100.92,14.06,,0,0,0,0.0000
SAIL,Manufacturing And Processing,"16,312,500.00","1,329.00",-0.82 %,2026/03/17 02:59:59,"1,690.00-301.70","1,093.22","1,093.22",0.00%,"1.92                                                                    (FY:082-083, Q:2)",692.19,110.63,12.01,,0,0,0,0.0000
SYPNL,Manufacturing And Processing,"13,081,371.00","1,838.10",-1.5 %,2026/03/17 02:59:53,"2,255.90-319.80","1,494.28","1,494.28",0.00%,"1.20                                                                    (FY:082-083, Q:2)","1,531.75",109.64,16.76,,0,0,0,0.0000
SABBL,Development Bank Limited,"5,223,880.00","1,262.40",9.99 %,2026/03/17 02:59:12,"1,262.40-300.00",702.61,702.61,0.00%,"-3.98                                                                    (FY:082-083, Q:2)",-317.19,101.31,12.46,,0,0,0,0.0000
RSML,Manufacturing And Processing,"19,000,000.00","1,136.50",10 %,2026/03/17 02:23:09,"1,136.50-300.00",663.78,663.78,0.00%,"14.47                                                                    (FY:082-083, Q:2)",78.54,490.54,2.32,,0,0,0,0.0000
HFIN,Hotels And Tourism,,148.60,9.99 %,2026/03/17 02:52:55,148.60-101.70,129.60,129.60,0.00%,"0.00                                                                    (FY:, Q:0)",0.00,0.00,148.60,,14.66,-0.0000,0.0013,0.0006
